description,reaction,T,I,pH,pMg,standard_dg_prime,stderr,n,SEM,nontrans_standard_dg_prime,nontrans_stderr
D-Glyceraldehyde 3-phosphate,[H]O[C@@]([H])(C([H])=O)C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1088.2,,1,,,
"1,1,2-Trichloroethane",[H]C([H])(Cl)C([H])(Cl)Cl,298.15,0.25,7.0,14.0,44.6,,1,,,
Sulfur,[S],298.15,0.25,7.0,14.0,0.0,,1,,,
"2,6-Dichlorobenzoate",[H]OC(=O)c1c(Cl)c([H])c([H])c([H])c1Cl,298.15,0.25,7.0,14.0,-141.2,,1,,,
D-Ribose,[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-331.3,,1,,,
Acetaldehyde,[H]C(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,24.0,,1,,,
D-Lyxose,[H]OC1([H])OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-341.7,,1,,,
L-Alanine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-85.8,,1,,,
3-Phospho-D-glyceroyl phosphate,[H]O[C@@]([H])(C(=O)OP(=O)(O[H])O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-2206.2,,1,,,
4-Bromobenzoate,[H]OC(=O)c1c([H])c([H])c(Br)c([H])c1[H],298.15,0.25,7.0,14.0,-34.1,,1,,,
L-Leucine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,177.4,,1,,,
Pyruvate,[H]OC(=O)C(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,-350.8,,1,,,
Nitric oxide,[N]=O,298.15,0.25,7.0,14.0,86.5,,1,,,
L-Glutamine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H],298.15,0.25,7.0,14.0,-120.6,,1,,,
Diphosphate,[H]OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1942.8,,1,,,
CO2,O=C=O,298.15,0.25,7.0,14.0,-386.0,,1,,,
Chloromethane,[H]C([H])([H])Cl,298.15,0.25,7.0,14.0,69.5,,1,,,
AMP,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-554.9,,1,,,
L-Iditol,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-374.3,,1,,,
"1,2,3,5-Tetrachlorobenzene",[H]c1c(Cl)c([H])c(Cl)c(Cl)c1Cl,298.15,0.25,7.0,14.0,130.7,,1,,,
ADP,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1423.9,,1,,,
CO2(tot),[H]OC(=O)O[H],298.15,0.25,7.0,14.0,-546.9,0.1414213562373416,2,0.1000000000000227,,
"1,3,5-Trichlorobenzene",[H]c1c(Cl)c([H])c(Cl)c([H])c1Cl,298.15,0.25,7.0,14.0,179.0,,1,,,
O-Phospho-L-serine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1119.8,,1,,,
Xylitol,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-295.2,,1,,,
Mannitol,[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-372.2,,1,,,
D-Galactose 6-phosphate,[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-1312.0,,1,,,
Propane,[H]C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,318.6,,1,,,
Adenylyl sulfate,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OS(=O)(=O)O[H],298.15,0.25,7.0,14.0,-1056.3,,1,,,
5-Phospho-alpha-D-ribose 1-diphosphate,[H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-2977.4,,1,,,
Glycine,[H]OC(=O)C([H])([H])N([H])[H],298.15,0.25,7.0,14.0,-176.2,,1,,,
Inosine,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,79.7,,1,,,
L-Phenylalanine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],298.15,0.25,7.0,14.0,241.1,,1,,,
1-Butanol,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,235.6,,1,,,
Succinate,[H]OC(=O)C([H])([H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-530.7,,1,,,
D-Xylose,[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O,298.15,0.25,7.0,14.0,-343.0,,1,,,
"3,4,5-Trichlorobenzoate",[H]OC(=O)c1c([H])c(Cl)c(Cl)c(Cl)c1[H],298.15,0.25,7.0,14.0,-200.9,,1,,,
4-Methyl-2-oxopentanoate,[H]OC(=O)C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-79.3,,1,,,
Nitrous oxide,N#[N+][O-],298.15,0.25,7.0,14.0,104.2,,1,,,
D-Ribulose 5-phosphate,[H]OC([H])([H])C(=O)[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1232.0,,1,,,
"1,2-propanediol(aq) + NADP(aq) = L-lactaldehyde(aq) + NADPH(aq)",[H]OC([H])([H])C([H])(O[H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]O[C@]([H])(C([H])=O)C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,32.04580782292901,0.0252465636467362,4,0.0126232818233681,19.3699805067098,3.912388186460612
L-threonate(aq) + NAD(aq) = 3-oxo-L-threonate(aq) + NADH(aq),[H]OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)[C@]([H])(O[H])C(=O)C([H])([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,17.640228299042978,4.649365357696015,3,2.6843123408267147,16.40426513548945,3.4504853104361355
D-ribose(aq) = D-ribulose(aq),[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H] = [H]OC([H])([H])C1(O[H])OC([H])([H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,1.98294929160093,0.3462625964490166,8,0.1224223150101802,1.9808425455903331,0.3462316774832383
"L-lysine(aq) = (3S)-3,6-diaminohexanoate(aq)",[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H] = [H]OC(=O)C([H])([H])[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],298.15,0.25,7.0,14.0,-4.670833761389368,0.5499419680724228,2,0.3888676948830859,-4.551819003511191,0.4957825064034869
adenosine(aq) + H2O(l) = inosine(aq) + ammonia(aq),[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H]N([H])[H],298.15,0.25,7.0,14.0,-20.887255616984707,1.7766841358115557,15,0.4587378712979381,-15.623183388845009,2.6353125319311563
D-glyceraldehyde 3-phosphate(aq) + indole(aq) = 1-(indol-3-yl)glycerol 3-phosphate(aq),[H]O[C@@]([H])(C([H])=O)C([H])([H])OP(=O)(O[H])O[H] + [H]c1c([H])c([H])c2c(c1[H])c([H])c([H])n2[H] = [H]O[C@@]([H])(c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-19.27180751539882,,1,,-19.178475249796804,
D-ribulose 5-phosphate(aq) = D-xylulose 5-phosphate(aq),[H]OC([H])([H])C(=O)[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H] = [H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1.1542901560823382,1.1984220855348793,5,0.5359506497986115,-1.1542901560823382,1.1984220855348793
pyridoxine(aq) + NADP(ox)(aq) = pyridoxal(aq) + NADP(red)(aq),[H]Oc1c(C([H])([H])[H])nc([H])c(C([H])([H])O[H])c1C([H])([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]Oc1c(C([H])([H])[H])nc([H])c(C([H])([H])O[H])c1C([H])=O + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,27.17095499870921,4.115490577161993,2,2.9100912950205835,21.558069125384197,13.151640767078211
S-adenosyl-L-homocysteine(aq) + H2O(l) = adenosine(aq) + L-homocysteine(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])SC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])S[H],298.15,0.25,7.0,14.0,34.530791659890994,,1,,34.74015224087941,
(R)-methylmalonyl-CoA(aq) = succinyl-CoA(aq),[H]OC(=O)[C@]([H])(C(=O)SC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])N([H])C(=O)[C@]([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])OP(=O)(O[H])O[H])C([H])([H])[H] = [H]OC(=O)C([H])([H])C([H])([H])C(=O)SC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])N([H])C(=O)[C@]([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-7.574177285294075,0.2903184244289815,2,0.205286126617127,-7.57164622930083,0.2937127389752592
"2,2'-iminodipropanoate(aq) + NAD(aq) + H2O(l) = L-alanine(aq) + pyruvate(aq) + NADH(aq)",[H]OC(=O)C([H])(N([H])C([H])(C(=O)O[H])C([H])([H])[H])C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[H] + [H]OC(=O)C(=O)C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,34.22967506944207,,1,,34.22967506944207,
(R)-malate(aq) = maleate(aq) + H2O(l),[H]OC(=O)C([H])([H])[C@@]([H])(O[H])C(=O)O[H] = [H]OC(=O)/C([H])=C(/[H])C(=O)O[H] + [H]O[H],298.15,0.25,7.0,14.0,18.892385576542083,,1,,18.89238557654205,
isocitrate(aq) = succinate(aq) + glyoxylate(aq),[H]OC(=O)C([H])([H])C([H])(C(=O)O[H])C([H])(O[H])C(=O)O[H] = [H]OC(=O)C([H])([H])C([H])([H])C(=O)O[H] + [H]OC(=O)C([H])=O,298.15,0.25,7.0,14.0,12.626972887967652,4.204469815675523,4,2.1022349078377616,12.48412394358198,4.273108659666874
cephalothin(aq) + H2O(l) = 2-thienylacetic acid(aq) + 7-aminocephalosporanic acid(aq),[H]OC(=O)C1=C(C([H])([H])OC(=O)C([H])([H])[H])C([H])([H])S[C@@]2([H])N1C(=O)[C@@]2([H])N([H])C(=O)C([H])([H])c1sc([H])c([H])c1[H] + [H]O[H] = [H]OC(=O)C([H])([H])c1sc([H])c([H])c1[H] + [H]OC(=O)C1=C(C([H])([H])OC(=O)C([H])([H])[H])C([H])([H])S[C@@]2([H])N1C(=O)[C@@]2([H])N([H])[H],298.15,0.25,7.0,14.0,13.251390671453851,,1,,12.29359898280264,
ATP(aq) + L-aspartate(aq) = ADP(aq) + 4-phospho-L-aspartate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C(=O)OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,19.432056249449698,,1,,19.054629968436,
reduced thioredoxin(aq) + NADP(aq) = oxidized thioredoxin(aq) + NADPH(aq),*C(=O)[C@@]([H])(N([H])C(=O)[C@@](*)([H])N([H])C(=O)[C@@](*)([H])N([H])C(=O)[C@@]([H])(N(*)[H])C([H])([H])S[H])C([H])([H])S[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = *C(=O)[C@@]1([H])N([H])C(=O)[C@@](*)([H])N([H])C(=O)[C@@](*)([H])N([H])C(=O)[C@@]([H])(N(*)[H])C([H])([H])SSC1([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,8.957453459084837,0.7257369009851211,3,0.4190043951446044,3.254298385839817,4.976795867296982
glycolate(aq) + NAD(aq) = glyoxylate(aq) + NADH(aq),[H]OC(=O)C([H])([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)C([H])=O + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,43.96119135355417,0.7629433479928984,11,0.2300360746899994,37.15326465812871,2.3183159554364563
2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),[H]OC(=O)[C@]([H])(OP(=O)(O[H])O[H])C([H])([H])O[H] = [H]OC(=O)C(OP(=O)(O[H])O[H])=C([H])[H] + [H]O[H],298.15,0.25,7.0,14.0,-2.756588380383316,1.927468818717758,94,0.1988032291126834,-3.0743563522714994,1.242808646010814
ATP(aq) + sulfate(aq) = pyrophosphate(aq) + adenylylsulfate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OS(=O)(=O)O[H] = [H]OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OS(=O)(=O)O[H],298.15,0.25,7.0,14.0,45.80519737995304,,1,,49.89726622078305,
alpha-D-Glucose 6-phosphate(aq) = beta-D-Glucose 6-phosphate(aq),[H]O[C@@]1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] = [H]O[C@]1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-1.3146986164802863,,1,,-1.3146986164802863,
IMP(aq) + pyrophosphate(aq) = hypoxanthine(aq) + 5-phospho--D-ribose 1-diphosphate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] + [H]OP(=O)(O[H])OP(=O)(O[H])O[H] = [H]c1nc2c(nc([H])n2[H])c(=O)n1[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,30.96135747575368,,1,,31.796008107727737,
ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-17.056794401261506,1.1103924485988137,31,0.19943237109884,-13.972180431191909,1.27338607416211
L-valine(aq) + 2-oxoglutarate(aq) = 2-oxovalerate(aq) + L-glutamate(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H] + [H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H] = [H]OC(=O)C(=O)C([H])([H])C([H])([H])C([H])([H])[H] + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-1.275771526039447,,1,,-1.2705854066657574,
L-glutamate(aq) + AP-NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + AP-NADH(aq) + ammonia(aq),[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H] + [H]OC1([H])C([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)OC([H])(C([H])([H])OP(=O)(O[H])OP(=O)([O-])OC([H])([H])C2([H])OC([H])([n+]3c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c3[H])C([H])(O[H])C2([H])O[H])C1([H])O[H] + [H]O[H] = [H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H] + [H]OC1([H])C([H])(N2C([H])=C([H])C([H])([H])C(C(=O)C([H])([H])[H])=C2[H])OC([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C2([H])OC([H])(n3c([H])nc4c(N([H])[H])nc([H])nc43)C([H])(O[H])C2([H])O[H])C1([H])O[H] + [H]N([H])[H],298.15,0.25,7.0,14.0,15.471053185008218,,1,,15.415591513081042,
L-alanine(aq) + 2-oxoglutarate(aq) = pyruvate(aq) + L-glutamate(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[H] + [H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H] = [H]OC(=O)C(=O)C([H])([H])[H] + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,0.593874599363681,1.0132939367315634,12,0.2925127635700918,0.6998865351408635,1.0158371916226765
L-leucine(aq) = D-leucine(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H] = [H]OC(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,0.0,,1,,0.0,
GMP(aq) + hypoxanthine(aq) = IMP(aq) + guanine(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(=O)n([H])c(N([H])[H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] + [H]c1nc2c(nc([H])n2[H])c(=O)n1[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] + [H]c1nc2c(=O)n([H])c(N([H])[H])nc2n1[H],298.15,0.25,7.0,14.0,2.4669706243411937,,1,,2.4937993035415147,
"UDP-glucose + D-glucose 6-phosphate = UDP + alpha,alpha'-trehalose 6-phosphate",[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]([H])(n3c([H])c([H])c(=O)n([H])c3=O)[C@]([H])(O[H])[C@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c([H])c(=O)n([H])c2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-10.112874955046198,,1,,-9.507520549982464,
