,description,reaction,T,I,pH,pMg,standard_dg_prime,nontrans_standard_dg_prime,nontrans_stderr,stderr,n,SEM,ddG
153,D-Galactose 1-phosphate,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-1311.8,,,,,,-491.52887456896195
154,Hydrazine,[H]N([H])N([H])[H],298.15,0.25,7.0,14.0,290.9,,,,,,-157.5490106931634
155,4-Oxoglutaramate,[H]OC(=O)C([H])([H])C([H])([H])C(=O)C(=O)N([H])[H],298.15,0.25,7.0,14.0,-352.2,,,,,,-267.5798894993626
156,Propane-1-ol,[H]OC([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,150.1,,,,,,-325.9544985155034
157,2-Hydroxybutanoic acid,[H]OC(=O)[C@@]([H])(O[H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,-221.9,,,,,,-308.7801913515624
158,1-Butanol,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,235.6,,,,,,-407.4431231448632
159,Ethylene,[H]C([H])=C([H])[H],298.15,0.25,7.0,14.0,244.4,,,,,,-162.97724925919437
160,"2,4-Dichlorobenzoate",[H]OC(=O)c1c([H])c([H])c(Cl)c([H])c1Cl,298.15,0.25,7.0,14.0,-155.0,,,,,,-140.55652101007718
161,"1,2-Dichloroethane",[H]C([H])(Cl)C([H])([H])Cl,298.15,0.25,7.0,14.0,90.0,,,,,,-162.97724925919437
162,Tetrachloroethene,ClC(Cl)=C(Cl)Cl,298.15,0.25,7.0,14.0,27.6,,,,,,0.0
163,Trichloroethene,[H]C(Cl)=C(Cl)Cl,298.15,0.25,7.0,14.0,66.2,,,,,,-40.74431231479859
164,"trans-1,2-Dichloroethene",[H]/C(Cl)=C(/[H])Cl,298.15,0.25,7.0,14.0,113.5,,,,,,-81.48862462959718
165,"cis-1,2-Dichloroethene",[H]/C(Cl)=C(\[H])Cl,298.15,0.25,7.0,14.0,109.3,,,,,,-81.48862462959718
166,Vinyl chloride,[H]C([H])=C([H])Cl,298.15,0.25,7.0,14.0,181.9,,,,,,-122.23293694439576
167,Carbon tetrachloride,ClC(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,-45.1,,,,,,0.0
168,Sulfur dioxide,O=S=O,298.15,0.25,7.0,14.0,-300.7,,,,,,0.0
169,Chloroform,[H]C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,-25.8,,,,,,-40.74431231479554
170,"1,1-Dichloroethylene",[H]C([H])=C(Cl)Cl,298.15,0.25,7.0,14.0,113.7,,,,,,-81.48862462959718
171,"1,2,3-Trichloropropane",[H]C([H])(Cl)C([H])(Cl)C([H])([H])Cl,298.15,0.25,7.0,14.0,103.2,,,,,,-203.72156157399294
172,"1,1,1,2-Tetrachloroethane",[H]C([H])(Cl)C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,3.7,,,,,,-81.48862462959718
173,Fe2+,[Fe+2],298.15,0.25,7.0,14.0,-82.1,,,,,,3.644283721719284
174,Fe3+,[Fe+3],298.15,0.25,7.0,14.0,-11.9,,,,,,7.692740723966836
175,"1,1,1-Trichloroethane",[H]C([H])([H])C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,53.2,,,,,,-122.23293694439576
176,"1,1-Dichloroethane",[H]C([H])([H])C([H])(Cl)Cl,298.15,0.25,7.0,14.0,94.3,,,,,,-162.97724925919437
177,Chloroethane,[H]C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,166.9,,,,,,-203.72156157399294
178,"1,2-Dichloropropane",[H]C([H])([H])C([H])(Cl)C([H])([H])Cl,298.15,0.25,7.0,14.0,164.6,,,,,,-244.46587388879152
179,Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,-49.6,,,,,,0.0
180,Pentachloroethane,[H]C(Cl)(Cl)C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,-27.5,,,,,,-40.744312314797135
181,"1,1,2-Trichloroethane",[H]C([H])(Cl)C([H])(Cl)Cl,298.15,0.25,7.0,14.0,44.6,,,,,,-122.23293694439576
182,Monochlorobenzene,[H]c1c([H])c([H])c(Cl)c([H])c1[H],298.15,0.25,7.0,14.0,306.0,,,,,,-203.72156157399294
183,"1,2-Dichlorobenzene",[H]c1c([H])c([H])c(Cl)c(Cl)c1[H],298.15,0.25,7.0,14.0,247.3,,,,,,-162.97724925919437
184,"1,3-Dichlorobenzene",[H]c1c([H])c(Cl)c([H])c(Cl)c1[H],298.15,0.25,7.0,14.0,244.8,,,,,,-162.97724925919437
185,"1,4-Dichlorobenzene",[H]c1c([H])c(Cl)c([H])c([H])c1Cl,298.15,0.25,7.0,14.0,241.3,,,,,,-162.97724925919437
186,"1,2,3-Trichlorobenzene",[H]c1c([H])c(Cl)c(Cl)c(Cl)c1[H],298.15,0.25,7.0,14.0,193.9,,,,,,-122.23293694439576
187,"1,2,4-Trichlorobenzene",[H]c1c([H])c(Cl)c(Cl)c([H])c1Cl,298.15,0.25,7.0,14.0,182.7,,,,,,-122.23293694439576
188,"1,3,5-Trichlorobenzene",[H]c1c(Cl)c([H])c(Cl)c([H])c1Cl,298.15,0.25,7.0,14.0,179.0,,,,,,-122.23293694439576
189,"1,2,3,4-Tetrachlorobenzene",[H]c1c([H])c(Cl)c(Cl)c(Cl)c1Cl,298.15,0.25,7.0,14.0,137.3,,,,,,-81.48862462959718
190,"1,2,3,5-Tetrachlorobenzene",[H]c1c(Cl)c([H])c(Cl)c(Cl)c1Cl,298.15,0.25,7.0,14.0,130.7,,,,,,-81.48862462959718
191,"1,2,4,5-Tetrachlorobenzene",[H]c1c(Cl)c(Cl)c([H])c(Cl)c1Cl,298.15,0.25,7.0,14.0,135.0,,,,,,-81.48862462959718
192,Pentachlorobenzene,[H]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,298.15,0.25,7.0,14.0,86.4,,,,,,-40.74431231479859
193,Hexachlorobenzene,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,298.15,0.25,7.0,14.0,46.0,,,,,,0.0
194,3-Chlorobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c(Cl)c1[H],298.15,0.25,7.0,14.0,-83.8,,,,,,-186.03426218732181
195,"2,3-Dichlorobenzoate",[H]OC(=O)c1c([H])c([H])c([H])c(Cl)c1Cl,298.15,0.25,7.0,14.0,-148.3,,,,,,-139.70086414054768
196,"2,5-Dichlorobenzoate",[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1Cl,298.15,0.25,7.0,14.0,-157.3,,,,,,-139.47268443811552
197,"2,6-Dichlorobenzoate",[H]OC(=O)c1c(Cl)c([H])c([H])c([H])c1Cl,298.15,0.25,7.0,14.0,-141.2,,,,,,-134.79478833855865
198,"3,4-Dichlorobenzoate",[H]OC(=O)c1c([H])c([H])c(Cl)c(Cl)c1[H],298.15,0.25,7.0,14.0,-142.8,,,,,,-145.4609576101032
199,"3,5-Dichlorobenzoate",[H]OC(=O)c1c([H])c(Cl)c([H])c(Cl)c1[H],298.15,0.25,7.0,14.0,-152.1,,,,,,-144.26372695210662
200,"2,3,5-Trichlorobenzoate",[H]OC(=O)c1c([H])c(Cl)c([H])c(Cl)c1Cl,298.15,0.25,7.0,14.0,-212.7,,,,,,-97.87268513379448
201,"3,4,5-Trichlorobenzoate",[H]OC(=O)c1c([H])c(Cl)c(Cl)c(Cl)c1[H],298.15,0.25,7.0,14.0,-200.9,,,,,,-103.8615188558022
202,2-Bromobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1Br,298.15,0.25,7.0,14.0,-47.3,,,,,,-182.32757410354264
203,3-Bromobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c(Br)c1[H],298.15,0.25,7.0,14.0,-40.8,,,,,,-186.20526992490176
204,4-Bromobenzoate,[H]OC(=O)c1c([H])c([H])c(Br)c([H])c1[H],298.15,0.25,7.0,14.0,-34.1,,,,,,-186.83220669792604
205,2-Iodobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1I,298.15,0.25,7.0,14.0,15.7,,,,,,-182.6127676456699
206,3-Iodobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c(I)c1[H],298.15,0.25,7.0,14.0,18.1,,,,,,-186.26227030529714
207,4-Iodobenzoate,[H]OC(=O)c1c([H])c([H])c(I)c([H])c1[H],298.15,0.25,7.0,14.0,20.9,,,,,,-186.88919294726927
208,2-Amino-5-chlorobenzoate,[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1N([H])[H],298.15,0.25,7.0,14.0,-12.6,,,,,,-231.1617744257336
209,2-Hydroxy-5-chlorobenzoate,[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1O[H],298.15,0.25,7.0,14.0,-246.7,,,,,,-178.56264749215873
210,2-Methyl-5-chlorobenzoate,[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1C([H])([H])[H],298.15,0.25,7.0,14.0,6.6,,,,,,-266.78175261926935
211,Chloromethane,[H]C([H])([H])Cl,298.15,0.25,7.0,14.0,69.5,,,,,,-122.23293694439576
212,Ethane,[H]C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,227.0,,,,,,-244.46587388879152
213,"1,1,2,2-Tetrachloroethane",[H]C(Cl)(Cl)C([H])(Cl)Cl,298.15,0.25,7.0,14.0,-7.4,,,,,,-81.48862462959652
214,Propane,[H]C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,318.6,,,,,,-325.95449851838873
215,1-Chloropropane,[H]C([H])([H])C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,240.5,,,,,,-285.2101862035902
216,"1,3-Dichloropropane",[H]C([H])(Cl)C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,164.1,,,,,,-244.46587388879152
217,Butane,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,407.2,,,,,,-407.4431231479859
218,1-Chlorobutane,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,334.9,,,,,,-366.6988108331873
219,2-Chlorobutane,[H]C([H])([H])C([H])([H])C([H])(Cl)C([H])([H])[H],298.15,0.25,7.0,14.0,321.1,,,,,,-366.6988108331873
220,Pentane,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,498.2,,,,,,-488.93174777758304
221,1-Chloropentane,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,418.6,,,,,,-448.1874354627845
222,CH3NHp,[H]C([H])([H])[N+]([O-])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,444.0,,,,,,-366.6875116989492
0,(S)-3-hydroxybutanoyl-CoA(aq) + NAD(aq) = 3-oxobutanoyl-CoA(aq) + NADH(aq),[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])C(=O)SC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])N([H])C(=O)[C@]([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C(=O)C([H])([H])[H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21 + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,17.330233050207895,8.356755003596595,6.934974959358653,1.5030647516645903,6,0.6136236153235598,39.93477250804858
1,D-mannose 6-phosphate(aq) + H2O(l) = D-mannose(aq) + orthophosphate(aq),[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-10.906972004482489,-9.47271198346582,,,1,,-6.128995098256169
2,NAD(aq) + NADPH(aq) = NADH(aq) + NADP(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-0.9392933107665732,-0.9392763339704787,0.0642370397719839,0.06414102029975319,3,0.03703183533615976,-7.050507451822341e-05
3,"glycine(aq) + NAD+(aq) + THF(aq) = 5,10-CH2-THF(aq) + NADH(aq) + NH3(aq) + CO2(aq)",[H]OC(=O)C([H])([H])N([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N([H])C([H])([H])[C@]2([H])N([H])c3c(nc(N([H])[H])n([H])c3=O)N([H])C2([H])[H])c([H])c1[H] + [H]O[H] = [H]OC(=O)C([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])C(=O)c1c([H])c([H])c(N2C([H])([H])N3c4c(nc(N([H])[H])n([H])c4=O)N([H])C([H])([H])[C@]3([H])C2([H])[H])c([H])c1[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H]N([H])[H] + [H]OC(=O)O[H] + [H+],298.15,0.25,7.0,14.0,17.48963751817153,16.71127755330698,,,1,,17.8513864249461
4,6-phospho-D-gluconate(aq) + NADP(aq) + H2O(l) = D-ribulose 5-phosphate(aq) + NADPH(aq) + carbon dioxide(aq),[H]OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC([H])([H])C(=O)[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H]OC(=O)O[H] + [H+],298.15,0.25,7.0,14.0,6.376131224203284,6.363253760515092,0.14178907172408473,1.872484425446941,9,0.6241614751489803,31.52553483297052
5,all-trans-retinal(aq) = 11-cis-retinal(aq),[H]C(=O)/C([H])=C(C(/[H])=C([H])/C([H])=C(C(/[H])=C(\[H])C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])\C([H])([H])[H])\C([H])([H])[H] = [H]C(=O)/C([H])=C(C(/[H])=C([H])\C([H])=C(C(\[H])=C(/[H])C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])/C([H])([H])[H])\C([H])([H])[H],298.15,0.25,7.0,14.0,7.696145554988186,7.696145554988186,,,1,,0.0
6,2 dADP(aq) = dAMP(aq) + dATP(aq),2.0 [H]O[C@@]1([H])C([H])([H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] = [H]O[C@@]1([H])C([H])([H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])C([H])([H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,2.274625524969003,2.049544516600924,1.3280325140021867,1.3280325140021867,4,0.6640162570010933,13.421580528969344
7,L-glutamine(aq) + H2O(l) = L-glutamate(aq) + ammonia(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H] + [H]O[H] = [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H] + [H]N([H])[H],298.15,0.25,7.0,14.0,-16.18602954964955,-16.77746682042667,0.0923346995363232,0.0923346995363232,2,0.06529049218095649,21.10332123424311
8,L-ornithine(aq) + 2-oxoglutarate(aq) = DL-D-1-pyrroline-5-carboxylate(aq) + L-glutamate(aq),[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H] + [H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H] = [H]OC(=O)[C@@]1([H])N=C([H])C([H])([H])C1([H])[H] + [H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H] + [H]O[H],298.15,0.25,7.0,14.0,-11.524319777638254,-10.986403061712863,,,1,,-27.9969956921111
9,L-fuculose 1-phosphate(aq) = glycerone phosphate(aq) + (S)-lactaldehyde(aq),[H]O[C@@]([H])([C@@]([H])(O[H])C(=O)C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])C([H])([H])[H] = [H]OC([H])([H])C(=O)C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@]([H])(C([H])=O)C([H])([H])[H],298.15,0.25,7.0,14.0,19.797987307682792,19.805062648905608,,,1,,-0.10607298650759844
10,NAD(red)(aq) + NADP(ox)(aq) = NAD(ox)(aq) + NADP(red)(aq),[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,2.1443361223832293,2.1442081704782123,0.40568287625908894,0.405720172100149,10,0.12829998365119713,7.050507429084973e-05
11,1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole = Fumarate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])C(=O)c1nc([H])n([C@]2([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]2([H])O[H])c1N([H])[H] = [H]OC(=O)/C([H])=C(\[H])C(=O)O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc(C(=O)N([H])[H])c2N([H])[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,15.705311200321677,15.656983478326271,,,1,,0.9415987251283013
12,(S)-dihydroorotate(aq) + NAD(aq) = orotate(aq) + NADH(aq),[H]OC(=O)[C@@]1([H])N([H])C(=O)N([H])C(=O)C1([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)c1c([H])c(=O)n([H])c(=O)n1[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,12.755382380540153,15.719296302523878,2.7779764974552017,0.3075530845471357,4,0.15377654227356785,42.57457466265282
13,"4-androstene-17-ol-3-one(aq) + NAD(aq) = 4-androstene-3,17-dione(aq) + NADH(aq)",[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@@]21C([H])([H])[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]C1=C2C([H])([H])C([H])([H])[C@]3([H])[C@]([H])(C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])[C@]43[H])[C@@]2(C([H])([H])[H])C([H])([H])C([H])([H])C1=O + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,2.319316116872416,-1.50482946492508,7.292920400271197,1.8658108392148052,12,0.5386131951387947,39.93450057859263
14,"D-fructose 1,6-bisphosphate(aq) + H2O(l) = D-fructose 1-phosphate(aq) + orthophosphate(aq)",[H]OC1(C([H])([H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC([H])([H])[C@@]1([H])OC(O[H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-5.763351918052886,-6.100208638403411,1.0231652687234722,3.3330956747008447,2,2.356854553924518,-6.273335917827708
15,maltose(aq) + orthophosphate(aq) = D-glucose(aq) + D-glucose 1-phosphate(aq),[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H] + [H]OP(=O)(O[H])O[H] = [H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] + [H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,4.054199841639279,3.7878642175655175,0.0,0.0,2,0.0,6.617330526466162
